,企業名,ティッカー,stock_diff,年度,株価の変化率,負債,end_date+60日の株価,企業価値,end_dateの日の株価,有利子負債/総資産比率,有形固定資産,キャッシュ時価総額比率,純資産,クラスタリング
0,"ウェルスナビ株式会社",7342.0,36.08617594254937,2019.0,9,9,9,10,8,5,2.0,3,9,10
1,"ウェルスナビ株式会社",7342.0,25.94417077175698,2020.0,9,10,9,10,9,5,5.0,2,9,8
2,"株式会社ＡＳＪ",2351.0,23.36664104534973,2018.0,9,5,6,6,6,1,9.0,3,8,8
3,"株式会社ＡＳＪ",2351.0,0.128369704749679,2018.0,6,5,7,7,6,1,9.0,2,8,8
4,"株式会社ＡＳＪ",2351.0,9.8531211750306,2018.0,8,5,7,7,9,4,9.0,2,7,8
5,"株式会社ＡＳＪ",2351.0,10.473537604456824,2019.0,8,6,8,7,7,4,9.0,2,7,8
6,"株式会社ＡＳＪ",2351.0,-15.00253421186011,2019.0,3,6,8,7,7,5,9.0,2,7,2
7,"株式会社ＡＳＪ",2351.0,-3.4951456310679614,2019.0,5,6,7,7,8,5,9.0,3,7,2
8,"株式会社ＡＳＪ",2351.0,-22.918100481761872,2019.0,2,6,7,7,4,5,9.0,2,7,8
9,"株式会社ＡＳＪ",2351.0,-22.5,2020.0,2,6,6,6,6,5,9.0,4,7,2
10,"株式会社ＡＳＪ",2351.0,-4.377880184331797,2020.0,5,6,5,5,6,5,9.0,4,7,8
11,"株式会社ＡＳＪ",2351.0,56.20347394540944,2020.0,10,6,4,4,4,5,9.0,5,7,4
12,"株式会社ＡＳＪ",2351.0,-27.67497988736927,2020.0,1,6,6,6,6,5,9.0,3,7,2
13,"GMO TECH株式会社",6026.0,-21.59090909090909,2018.0,2,2,8,1,9,1,2.0,5,2,7
14,"GMO TECH株式会社",6026.0,-1.391304347826087,2018.0,6,2,7,1,8,1,2.0,8,2,7
15,"GMO TECH株式会社",6026.0,3.34750265674814,2018.0,7,2,8,1,6,1,2.0,8,2,7
16,"GMO TECH株式会社",6026.0,0.4102564102564102,2019.0,6,3,8,1,8,1,2.0,8,2,7
17,"GMO TECH株式会社",6026.0,2.247191011235955,2019.0,7,2,8,1,7,1,1.0,7,2,7
18,"GMO TECH株式会社",6026.0,-20.453400503778337,2019.0,2,2,8,1,8,1,2.0,7,2,7
19,"GMO TECH株式会社",6026.0,2.9960053262316912,2019.0,7,2,7,1,8,1,2.0,9,2,7
20,"GMO TECH株式会社",6026.0,100.0,2020.0,10,3,7,1,6,1,2.0,9,2,7
21,"GMO TECH株式会社",6026.0,-13.14569536423841,2020.0,3,2,9,2,10,1,2.0,5,2,7
22,"GMO TECH株式会社",6026.0,-17.49904689287076,2020.0,3,2,9,2,9,1,2.0,5,2,7
23,"GMO TECH株式会社",6026.0,8.161350844277674,2020.0,8,3,8,1,8,1,1.0,6,2,7
24,"株式会社トランザス",6696.0,-39.48051948051948,2018.0,1,1,6,2,7,1,2.0,8,4,7
25,"株式会社トランザス",6696.0,95.85121602288984,2018.0,10,1,3,1,5,1,2.0,9,3,7
26,"株式会社トランザス",6696.0,-28.85317750182615,2018.0,1,1,6,3,5,1,3.0,6,3,7
27,"株式会社トランザス",6696.0,-14.743589743589745,2019.0,3,1,5,1,6,1,3.0,8,3,7
28,"株式会社トランザス",6696.0,66.19385342789597,2019.0,10,1,4,1,5,1,4.0,8,3,7
29,"株式会社トランザス",6696.0,-62.09103840682788,2019.0,1,1,6,3,6,1,4.0,6,3,7
30,"株式会社トランザス",6696.0,57.035647279549714,2019.0,10,1,3,1,6,3,3.0,9,3,7
31,"株式会社ピースリー（旧会社名　株式会社トランザス）",6696.0,0.2389486260454002,2020.0,6,1,4,1,4,1,6.0,7,3,7
32,"株式会社ピースリー（旧会社名　株式会社トランザス）",6696.0,36.829268292682926,2020.0,9,1,4,2,3,5,6.0,6,3,7
33,"株式会社ピースリー（旧会社名　株式会社トランザス）",6696.0,-21.052631578947366,2020.0,2,1,5,2,7,5,6.0,5,2,7
34,"株式会社ピースリー（旧会社名　株式会社トランザス）",6696.0,-21.487603305785125,2020.0,2,1,4,2,5,6,6.0,5,2,7
35,"そーせいグループ株式会社",4565.0,10.748560460652593,2018.0,8,10,5,10,6,6,"",8,10,6
36,"そーせいグループ株式会社",4565.0,68.7866108786611,2018.0,10,10,6,10,5,6,10.0,6,10,8
37,"そーせいグループ株式会社",4565.0,51.538925769462885,2019.0,10,10,7,10,7,6,10.0,5,10,8
38,"そーせいグループ株式会社",4565.0,-7.12863401035444,2019.0,5,10,9,10,9,6,10.0,3,10,2
39,"そーせいグループ株式会社",4565.0,-7.490144546649145,2019.0,5,10,9,10,9,6,10.0,4,10,2
40,"そーせいグループ株式会社",4565.0,-6.559083810515356,2019.0,5,10,8,10,8,5,10.0,4,10,8
41,"そーせいグループ株式会社",4565.0,-23.006465517241377,2020.0,2,10,8,10,6,4,10.0,4,10,8
42,"そーせいグループ株式会社",4565.0,-2.44926522043387,2020.0,6,10,7,10,7,4,10.0,5,10,8
43,"そーせいグループ株式会社",4565.0,34.28981348637016,2020.0,9,10,6,10,7,4,10.0,9,10,8
44,"そーせいグループ株式会社",4565.0,-15.173172072567343,2020.0,3,10,8,10,7,4,10.0,8,10,8
45,"ウェルビー株式会社",6556.0,-8.77094972067039,2018.0,4,5,8,9,8,6,7.0,1,6,2
46,"ウェルビー株式会社",6556.0,1.432129514321295,2018.0,7,5,7,9,7,6,7.0,1,7,8
47,"ウェルビー株式会社",6556.0,14.303638644918443,2018.0,8,5,7,9,7,6,7.0,2,7,8
