"","企業名","ティッカー","stock_diff","年度","株価の変化率","負債","end_date+60日の株価","企業価値","end_dateの日の株価","有利子負債/総資産比率","有形固定資産","キャッシュ時価総額比率","純資産","クラスタリング"
0,"ウェルスナビ株式会社",7342.0,36.09,2019.0,8,8,8,9,7,4,1.0,2,8,9
1,"ウェルスナビ株式会社",7342.0,25.94,2020.0,8,9,8,9,8,4,4.0,1,8,7
2,"株式会社ＡＳＪ",2351.0,23.37,2018.0,8,4,5,5,5,0,8.0,2,7,7
3,"株式会社ＡＳＪ",2351.0,0.13,2018.0,5,4,6,6,5,0,8.0,1,7,7
4,"株式会社ＡＳＪ",2351.0,9.85,2018.0,7,4,6,6,8,3,8.0,1,6,7
5,"株式会社ＡＳＪ",2351.0,10.47,2019.0,7,5,7,6,6,3,8.0,1,6,7
6,"株式会社ＡＳＪ",2351.0,-15.0,2019.0,2,5,7,6,6,4,8.0,1,6,1
7,"株式会社ＡＳＪ",2351.0,-3.5,2019.0,4,5,6,6,7,4,8.0,2,6,1
8,"株式会社ＡＳＪ",2351.0,-22.92,2019.0,1,5,6,6,3,4,8.0,1,6,7
9,"株式会社ＡＳＪ",2351.0,-22.5,2020.0,1,5,5,5,5,4,8.0,3,6,1
10,"株式会社ＡＳＪ",2351.0,-4.38,2020.0,4,5,4,4,5,4,8.0,3,6,7
11,"株式会社ＡＳＪ",2351.0,56.2,2020.0,9,5,3,3,3,4,8.0,4,6,3
12,"株式会社ＡＳＪ",2351.0,-27.67,2020.0,0,5,5,5,5,4,8.0,2,6,1
13,"GMO TECH株式会社",6026.0,-21.59,2018.0,1,1,7,0,8,0,1.0,4,1,6
14,"GMO TECH株式会社",6026.0,-1.39,2018.0,5,1,6,0,7,0,1.0,7,1,6
15,"GMO TECH株式会社",6026.0,3.35,2018.0,6,1,7,0,5,0,1.0,7,1,6
16,"GMO TECH株式会社",6026.0,0.41,2019.0,5,2,7,0,7,0,1.0,7,1,6
17,"GMO TECH株式会社",6026.0,2.25,2019.0,6,1,7,0,6,0,0.0,6,1,6
18,"GMO TECH株式会社",6026.0,-20.45,2019.0,1,1,7,0,7,0,1.0,6,1,6
19,"GMO TECH株式会社",6026.0,3.0,2019.0,6,1,6,0,7,0,1.0,8,1,6
20,"GMO TECH株式会社",6026.0,100.0,2020.0,9,2,6,0,5,0,1.0,8,1,6
21,"GMO TECH株式会社",6026.0,-13.15,2020.0,2,1,8,1,9,0,1.0,4,1,6
22,"GMO TECH株式会社",6026.0,-17.5,2020.0,2,1,8,1,8,0,1.0,4,1,6
23,"GMO TECH株式会社",6026.0,8.16,2020.0,7,2,7,0,7,0,0.0,5,1,6
24,"株式会社トランザス",6696.0,-39.48,2018.0,0,0,5,1,6,0,1.0,7,3,6
25,"株式会社トランザス",6696.0,95.85,2018.0,9,0,2,0,4,0,1.0,8,2,6
26,"株式会社トランザス",6696.0,-28.85,2018.0,0,0,5,2,4,0,2.0,5,2,6
27,"株式会社トランザス",6696.0,-14.74,2019.0,2,0,4,0,5,0,2.0,7,2,6
28,"株式会社トランザス",6696.0,66.19,2019.0,9,0,3,0,4,0,3.0,7,2,6
29,"株式会社トランザス",6696.0,-62.09,2019.0,0,0,5,2,5,0,3.0,5,2,6
30,"株式会社トランザス",6696.0,57.04,2019.0,9,0,2,0,5,2,2.0,8,2,6
31,"株式会社ピースリー（旧会社名　株式会社トランザス）",6696.0,0.24,2020.0,5,0,3,0,3,0,5.0,6,2,6
32,"株式会社ピースリー（旧会社名　株式会社トランザス）",6696.0,36.83,2020.0,8,0,3,1,2,4,5.0,5,2,6
33,"株式会社ピースリー（旧会社名　株式会社トランザス）",6696.0,-21.05,2020.0,1,0,4,1,6,4,5.0,4,1,6
34,"株式会社ピースリー（旧会社名　株式会社トランザス）",6696.0,-21.49,2020.0,1,0,3,1,4,5,5.0,4,1,6
35,"そーせいグループ株式会社",4565.0,10.75,2018.0,7,9,4,9,5,5,"null",7,9,5
36,"そーせいグループ株式会社",4565.0,68.79,2018.0,9,9,5,9,4,5,9.0,5,9,7
37,"そーせいグループ株式会社",4565.0,51.54,2019.0,9,9,6,9,6,5,9.0,4,9,7
38,"そーせいグループ株式会社",4565.0,-7.13,2019.0,4,9,8,9,8,5,9.0,2,9,1
39,"そーせいグループ株式会社",4565.0,-7.49,2019.0,4,9,8,9,8,5,9.0,3,9,1
40,"そーせいグループ株式会社",4565.0,-6.56,2019.0,4,9,7,9,7,4,9.0,3,9,7
41,"そーせいグループ株式会社",4565.0,-23.01,2020.0,1,9,7,9,5,3,9.0,3,9,7
42,"そーせいグループ株式会社",4565.0,-2.45,2020.0,5,9,6,9,6,3,9.0,4,9,7
43,"そーせいグループ株式会社",4565.0,34.29,2020.0,8,9,5,9,6,3,9.0,8,9,7
44,"そーせいグループ株式会社",4565.0,-15.17,2020.0,2,9,7,9,6,3,9.0,7,9,7
